uri,cid,author_handle,author_did,indexedAt,createdAt,text,reply_root_uri,reply_parent_uri,is_repost,like_count,repost_count,reply_count,quote_count,news_title,news_description,news_uri,engagement,cluster,cluster_like_count,cluster_reply_count,cluster_quote_count,cluster_repost_count,cluster_size,cluster_engagement_count,cluster_engagement_rank
at://did:plc:toz4no26o2x4vsbum7cp4bxp/app.bsky.feed.post/3lw26ypopt62g,bafyreifkpemg3kpxyz3hksgxlxkofzkumkzlomy62yz65ixbdlveyc5wde,news-flows-nl.bsky.social,did:plc:toz4no26o2x4vsbum7cp4bxp,2025-08-10T11:38:03.405Z,2025-08-10T11:17:18.000000Z,"Heide hoort nu paars te zijn, maar heeft weelderige haardos door te veel stikstof

Augustus is de maand dat de heide uitbundig hoort te bloeien. Maar door te veel stikstof heeft de heide het moeilijk. Alleen ingrijpende maatregelen kunnen de heide echt redden, zeggen experts tegen NU.nl.
",,,0,1,0,0,0,"Heide hoort nu paars te zijn, maar heeft weelderige haardos door te veel stikstof","Augustus is de maand dat de heide uitbundig hoort te bloeien. Maar door te veel stikstof heeft de heide het moeilijk. Alleen ingrijpende maatregelen kunnen de heide echt redden, zeggen experts tegen N...",https://www.nu.nl/stikstof/6365032/heide-hoort-nu-paars-te-zijn-maar-heeft-weelderige-haardos-door-te-veel-stikstof.html,1.0,4,2,0,0,0,2,2,11
at://did:plc:toz4no26o2x4vsbum7cp4bxp/app.bsky.feed.post/3lw5nca7ltn2w,bafyreiguuj3eqmumzhibii3hvcxmbddc553gb7e6didcwkpnorz3747n7q,news-flows-nl.bsky.social,did:plc:toz4no26o2x4vsbum7cp4bxp,2025-08-11T20:31:53.305Z,2025-08-11T20:08:00.000000Z,"We zijn geen zwerm

Marjoleine de Vos 
",,,0,1,0,1,0,Column | We zijn geen zwerm,Column: Marjoleine de Vos,https://www.nrc.nl/nieuws/2025/08/11/we-zijn-geen-zwerm-a4902713,2.0,14,1,1,0,0,1,2,12
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lw4hpio2cj2i,bafyreigetzbz3mlp7xt3lmtdq33x3e4ltko5okqcp7b5vg4qirhzjmz5pa,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-11T09:19:16.609Z,2025-08-11T09:00:49.000000Z,"The one change that worked: I felt self-conscious – until I started complimenting strangers

Every day I try to give a genuine compliment, so if I like someone’s clothes, hair or makeup, I’ll tell them. It has made me more present, confident and at ease talking to peopleI’m an ambivert. No,...",,,0,1,0,0,0,The one change that worked: I felt self-conscious – until I started complimenting strangers,"Every day I try to give a genuine compliment, so if I like someone’s clothes, hair or makeup, I’ll tell them. It has made me more present, confident and at ease talking to people",https://www.theguardian.com/lifeandstyle/2025/aug/11/one-change-worked-felt-self-conscious-started-complimenting-strangers,1.0,15,1,0,0,0,1,1,13
at://did:plc:toz4no26o2x4vsbum7cp4bxp/app.bsky.feed.post/3lvxomumi2j2q,bafyreiac4ev22qhrjrgrel4qxyj3lyjvn4oglno4g5uskh2tjpdxidrwqi,news-flows-nl.bsky.social,did:plc:toz4no26o2x4vsbum7cp4bxp,2025-08-09T11:39:46.105Z,2025-08-09T11:30:20.000000Z,"Europa zucht onder tropische hitte: temperaturen van boven 40 graden verwacht

In grote delen van Europa wordt de komende dagen tropische hitte verwacht. Vooral in Zuid-Europa lopen de temperaturen op, met in sommige gebieden zelfs waarden boven de 40 graden.
",,,0,1,0,0,0,Europa zucht onder tropische hitte: temperaturen van boven 40 graden verwacht,"In grote delen van Europa wordt de komende dagen tropische hitte verwacht. Vooral in Zuid-Europa lopen de temperaturen op, met in sommige gebieden zelfs waarden boven de 40 graden.",https://www.nu.nl/buitenland/6365140/europa-zucht-onder-tropische-hitte-temperaturen-van-boven-40-graden-verwacht.html,1.0,11,1,0,0,0,1,1,14
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lwc3ogtqii2s,bafyreihfea76dtgph4neak2cxuuk2eep5wwvesgn636bcps7rz6ifeu3qi,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-13T14:59:54.304Z,2025-08-13T15:39:43.000000Z,"Defence Forces spend almost €2m on social media and advertising to boost recruitment

The DF said €1.91 million had been spent reaching audiences through Facebook, TikTok, outdoor billboards, and even a streaming service popular with video gamers.
",,,0,1,0,0,0,,,https://www.breakingnews.ie/ireland/defence-forces-spend-almost-e2m-on-social-media-and-advertising-to-boost-recruitment-1791990.html,1.0,10,1,0,0,0,1,1,15
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lvxy23wbsq2w,bafyreidqgdeypt32yxfqceg6vvrvky6cjhno6htpul5qqkdu6uewwbidfe,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-09T14:28:13.711Z,2025-08-09T14:20:58.000000Z,"Do you return your bottles and cans to get your deposit back?

Since the scheme was rolled out in February 2024, there has been an added charge of 15 cents or more on most bottles and cans.
",,,0,1,0,0,0,Do you return your bottles and cans to get your deposit back?,"Since the scheme was rolled out in February 2024, there has been an added charge of 15 cents or more on most bottles and cans.",https://www.thejournal.ie/poll-do-you-return-your-bottles-and-cans-to-get-your-deposit-back-6786524-Aug2025/,1.0,8,1,0,0,0,1,1,16
at://did:plc:kzmukwaf72iwepygposicgt3/app.bsky.feed.post/3lxfzna6wqx2y,bafyreihfioayotpuuulftvae4yrpsili74lmsewjsw3eng7sn6jnelakfm,news-flows-fr.bsky.social,did:plc:kzmukwaf72iwepygposicgt3,2025-08-27T21:59:17.608Z,2025-08-27T21:32:01.000000Z,"Crise politique: ""La politique menée depuis 2017 est en train d'aggraver la situation économique"", estime Eric Coquerel, président LFI de la commission des finances

Le Premier ministre François Bayrou a annoncé ce lundi qu'il sollicitera un vote de confiance par les députés le 8 septembre...",,,0,4,4,0,0,"Crise politique: ""La politique menée depuis 2017 est en train d'aggraver la situation économique"", estime Eric Coquerel, président LFI de la commission des finances","VIDÉO - Le Premier ministre François Bayrou a annoncé ce lundi qu'il sollicitera un vote de confiance par les députés le 8 septembre prochain. Des Insoumis jusqu'au Rassemblement national, l'oppositio...",https://www.bfmtv.com/politique/la-france-insoumise/video-crise-politique-la-politique-menee-depuis-2017-est-en-train-d-aggraver-la-situation-economique-estime-eric-coquerel-president-lfi-de-la-commission-des-finances_VN-202508270791.html,8.0,2,323,14,15,121,69,473,1
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lxc2jpocdh2u,bafyreieh36fhstm3ipa5s7atvosg5qkfgh6qcosgyteqfzxo5wmtxi63ba,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-26T08:04:34.401Z,2025-08-26T07:39:04.000000Z,"EU action on Israel is ‘overdue’ – Simon Harris responds to letter signed by 206 former officials

Collective European Union action against Israel is “long overdue”, Tánaiste Simon Harris has said.
",,,0,4,2,0,0,EU action on Israel is ‘overdue’ – Simon Harris responds to letter signed by 206 former officials,"Collective European Union action against Israel is “long overdue”, Tánaiste Simon Harris has said.",https://www.independent.ie/world-news/middle-east/eu-action-on-israel-is-overdue-simon-harris-responds-to-letter-signed-by-206-former-officials/a1859134462.html,6.0,0,42,66,1,20,80,129,2
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3ly3r44mym22b,bafyreih3wki36wmz3hazf6fxijbajskhl5bwusgbodv7i362cwyir4lepi,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-09-05T13:25:09.009Z,2025-09-05T13:00:49.000000Z,"Swiftie boyfriends face proposal pressure: ‘Taylor and Travis put you on the clock’

After Swift and Kelce’s blowout news, some diehard fans are eager to be engaged at the same time as their pop idolColleen O’Connor knows it sounds strange, but she thinks of Taylor Swift as a friend. The pop...",,,0,2,2,0,0,Swiftie boyfriends face proposal pressure: ‘Taylor and Travis put you on the clock’,"After Swift and Kelce’s blowout news, some diehard fans are eager to be engaged at the same time as their pop idol",https://www.theguardian.com/music/2025/sep/05/taylor-swift-engagement-swiftie-boyfriends,4.0,1,64,11,6,25,71,106,3
at://did:plc:toz4no26o2x4vsbum7cp4bxp/app.bsky.feed.post/3lw7gw7styg25,bafyreiemcflz2oid5pyxeqcxqme4mye4vnwlyqng32tm7fggvjialqzztu,news-flows-nl.bsky.social,did:plc:toz4no26o2x4vsbum7cp4bxp,2025-08-12T13:43:07.909Z,2025-08-12T13:11:20.000000Z,"HERA United start profavontuur bij AFC, mogelijk ook duels in Olympisch Stadion

HERA United gaat zijn wedstrijden in de Vrouwen Eredivisie voorlopig spelen op Sportpark Goed Genoeg in Amsterdam. De nieuwe profclub voor vrouwen hoopt in de toekomst in het Olympisch Stadion in actie te komen.
",,,0,2,0,0,1,"HERA United start profavontuur bij AFC, mogelijk ook duels in Olympisch Stadion",HERA United gaat zijn wedstrijden in de Vrouwen Eredivisie voorlopig spelen op Sportpark Goed Genoeg in Amsterdam. De nieuwe profclub voor vrouwen hoopt in de toekomst in het Olympisch Stadion in acti...,https://www.nu.nl/voetbal/6365418/hera-united-start-profavontuur-bij-afc-mogelijk-ook-duels-in-olympisch-stadion.html,3.0,3,54,12,8,11,64,85,4
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lw6z56spj52w,bafyreiaaql2stuo2kagscrwrkibf4opu7mo44noqnvlnlt2ims7eqfh6yq,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-12T09:36:29.403Z,2025-08-12T09:05:16.000000Z,"I tested Fujifilm Instax Mini 41 and it’s one of the firm’s best budget-priced instant cameras yet

Photos you actually print remain a novelty for many people in 2025 and Mini 41 is a great entrance point into the world
",,,0,1,0,0,0,I tested Fujifilm Instax Mini 41 and it’s one of the best budget-priced cameras,Photos you actually print remain a novelty for many people in 2025 and Mini 41 is a great entrance point into the world,https://www.irishmirror.ie/lifestyle/technology/tested-fujifilm-instax-mini-41-35715129,1.0,6,3,0,1,0,2,4,6
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lxhxf6gzbi2m,bafyreiaz3dnax77s437qnblrytoa7ikmj2fpg4ctvj6dx5bm7evnbwhcym,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-28T16:24:19.307Z,2025-08-28T15:43:20.000000Z,"RFK Jr. rails against CDC listing vaccines among top medical advances


",,,0,0,1,0,1,RFK Jr. rails against CDC listing vaccines among top medical advances,The CDC director was removed on Aug. 27 for not being aligned with Kennedy's desire to reduce vaccination.,https://www.yahoo.com/news/articles/rfk-jr-rails-against-cdc-154320099.html,2.0,7,1,0,2,1,2,4,7
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lvvaw66sxk2r,bafyreif7ldp365hxwz4buzyj3i454yvm7ta2g6zslud7ne3azaj45l2txa,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-08T12:29:06.118Z,2025-08-07T23:55:00.000000Z,"Painkiller addiction warning as opioid prescriptions rise by 25% in eight years

Study by RCSI and UCC experts shows the use of opioids rose by about 25% between 2014 and 2022, while prescriptions for paracetamol rose by 50%
",,,0,0,1,0,0,Painkiller addiction warning as opioid prescriptions rise by 25% in eight years,"Study by RCSI and UCC experts shows the use of opioids rose by about 25% between 2014 and 2022, while prescriptions for paracetamol rose by 50%",https://www.irishexaminer.com/news/arid-41683973.html,1.0,5,1,0,0,2,2,3,9
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lvwgs73vpo2q,bafyreidc7c4j63r4a5l2q3mcxkowilxw4mfbvge2oyxllvfwfidek2iu3e,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-08T23:46:55.905Z,2025-08-08T16:56:32.000000Z,"Will it be a cold winter in NC, Asheville? Here are NOAA's long-range predictions


",,,0,1,0,0,0,"Will it be a cold winter in NC, Asheville? Here are NOAA's long-range predictions","In addition to NOAA's predictions, the Old Farmer's Almanac has published a sneak peek of its 2025 forecast.",https://www.yahoo.com/news/articles/cold-winter-nc-asheville-noaas-165632375.html,1.0,4,2,0,0,0,2,2,11
at://did:plc:kzmukwaf72iwepygposicgt3/app.bsky.feed.post/3lxar2ah6ki2e,bafyreiazgynptxmouaveyicvmi3zxvryuq6wi4rw33hqztu75jlq3qgy5u,news-flows-fr.bsky.social,did:plc:kzmukwaf72iwepygposicgt3,2025-08-25T19:42:12.009Z,2025-08-25T19:13:47.000000Z,"Vote de confiance du 8 septembre: ""Monsieur Macron a deux choix, soit il fait appel à ceux qui ont gagné il y a un an, soit il faut un retour au peuple"", estime Éric Coquerel, député LFI de Seine-Saint-Denis

François Bayrou a annoncé solliciter un vote de confiance devant l'Assemblée nationale...",,,0,4,3,0,0,"Vote de confiance du 8 septembre: ""Monsieur Macron a deux choix, soit il fait appel à ceux qui ont gagné il y a un an, soit il faut un retour au peuple"", estime Éric Coquerel, député LFI de Seine-Sain...","VIDÉO - François Bayrou a annoncé solliciter un vote de confiance devant l'Assemblée nationale le 8 septembre prochain. En recourant à l'article 49 de la Constitution, le Premier ministre joue sa surv...",https://www.bfmtv.com/politique/la-france-insoumise/video-vote-de-confiance-du-8-septembre-monsieur-macron-a-deux-choix-soit-il-fait-appel-a-ceux-qui-ont-gagne-il-y-a-un-an-soit-il-faut-un-retour-au-peuple-estime-eric-coquerel-depute-lfi-de-seine-saint-denis_VN-202508250719.html,7.0,2,323,14,15,121,69,473,1
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lxkdf5gdq22e,bafyreici5q2qxirtrnfrkgntqferupzwoyenmoaooa6fsxhkwbslaryiwy,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-29T15:04:22.509Z,2025-08-29T14:42:45.000000Z,"Irish author Naoise Dolan to join Gaza flotilla intended to break blockade

TD Paul Murphy will also join Greta Thunberg in renewed effort by activists to open humanitarian corridor
",,,0,2,1,1,0,Irish author Naoise Dolan to join Gaza flotilla intended to break blockade,TD Paul Murphy will also join Greta Thunberg in renewed effort by activists to open humanitarian corridor,https://www.irishtimes.com/ireland/2025/08/29/irish-author-naoise-dolan-to-join-gaza-flotilla-intended-to-break-blockade/,4.0,0,42,66,1,20,80,129,2
at://did:plc:kzmukwaf72iwepygposicgt3/app.bsky.feed.post/3lvt5sbxidu2c,bafyreiffig636hqngdkgfx4nvdiijif37lbxmi6facotlkow6yrnliuuce,news-flows-fr.bsky.social,did:plc:kzmukwaf72iwepygposicgt3,2025-08-07T16:27:55.410Z,2025-08-07T15:57:23.000000Z,"Incendie dans l’Aude : L’arrachage de vignes, « pare-feu » naturels, a-t-il favorisé la propagation des flammes ?

La vigne est connue comme étant un coupe-feu naturel, grâce à sa nature résistante à la chaleur mais aussi à l’entretien des parcelles. Or dans l’Aude, les arrachages se sont...",,,0,1,1,1,0,L’arrachage des vignes a-t-il favorisé l’incendie dans l’Aude ?,"La vigne est connue comme étant un coupe-feu naturel, grâce à sa nature résistante à la chaleur mais aussi à l’entretien des parcelles. Or dans l’Aude, les arrachages se sont multipliés, laissant la p...",https://www.20minutes.fr/societe/4167034-20250807-incendie-aude-arrachage-vignes-pare-feu-naturels-favorise-propagation-flammes,3.0,1,64,11,6,25,71,106,3
at://did:plc:toz4no26o2x4vsbum7cp4bxp/app.bsky.feed.post/3ly3os3f4vu2b,bafyreichnavnha7ohpgcxjc3nv2dpdaj7oaydbuxdigpmkkfihtdohskwq,news-flows-nl.bsky.social,did:plc:toz4no26o2x4vsbum7cp4bxp,2025-09-05T12:43:43.311Z,2025-09-05T12:28:51.000000Z,"Vitesse heeft bijna 7500 seizoenkaarten verkocht

Veel supporters van Vitesse hebben de afgelopen dagen een seizoenkaart aangeschaft. De club meldt vrijdagmiddag dat er in totaal 7386 jaarkaarten zijn verkocht.
",,,0,1,0,0,2,Vitesse heeft bijna 7500 seizoenkaarten verkocht,Veel supporters van Vitesse hebben de afgelopen dagen een seizoenkaart aangeschaft. De club meldt vrijdagmiddag dat er in totaal 7386 jaarkaarten zijn verkocht.,https://www.rtl.nl/nieuws/sport/artikel/5526869/vitesse-heeft-bijna-7500-seizoenkaarten-verkocht,3.0,3,54,12,8,11,64,85,4
at://did:plc:kzmukwaf72iwepygposicgt3/app.bsky.feed.post/3lxlel2chou2i,bafyreie44z4vfyg47ud535hecble3wjfmea3hrod4z7o5p3p2psorlxmgm,news-flows-fr.bsky.social,did:plc:kzmukwaf72iwepygposicgt3,2025-08-30T00:58:13.407Z,2025-08-30T00:30:38.000000Z,"Droits de douane américains : Revers judiciaire majeur pour Trump qui va saisir la Cour suprême

Des juges ont invalidé une partie des surtaxes imposées par Trump. Il a promis de saisir la Cour suprême et prévenu que leur suppression serait « une catastrophe » pour les Etats-Unis
",,,0,3,1,1,0,,,https://www.20minutes.fr/monde/etats-unis/4170295-20250830-droits-douane-revers-judiciaire-majeur-trump-va-saisir-cour-supreme?at_medium=display&amp;at_campaign=149,5.0,2,323,14,15,121,69,473,1
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lxftn7za3c26,bafyreidmexhcdcgejkpiqykvnb3nk5s4czkkj2aonwvf5djgwoocqr5vum,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-27T20:11:54.612Z,2025-08-27T19:39:13.000000Z,"President Higgins says European Union suffers reputational damage through ‘lethargic’ response to Gaza as vigil held

A vigil was held at the Spire on Dublin's O'Connell Street today in solidarity with journalists in Gaza.
",,,0,2,2,0,0,President Higgins says European Union suffers reputational damage through ‘lethargic’ response to Gaza as vigil held,A vigil was held at the Spire on Dublin's O'Connell Street today in solidarity with journalists in Gaza.,https://www.independent.ie/irish-news/president-higgins-says-european-union-suffers-reputational-damage-through-lethargic-response-to-gaza-as-vigil-held/a45503928.html,4.0,0,42,66,1,20,80,129,2
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lxpp6rsvh72p,bafyreifl7uinsbgyse6gxxxxnytaplvu46z7rqsmtpf75cucupkkhqhazi,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-31T18:18:52.309Z,2025-08-31T17:46:53.000000Z,"Creamery denies involvement in river Blackwater fish kill

Anglers estimate 40,000 fish were killed on the Blackwater in Cork a fortnight ago
",,,0,2,1,0,0,Creamery denies involvement in river Blackwater fish kill,"Anglers estimate 40,000 fish were killed on the Blackwater in Cork a fortnight ago",https://www.irishtimes.com/environment/2025/08/31/creamery-denies-involvement-in-river-blackwater-fish-kill/,3.0,1,64,11,6,25,71,106,3
